lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch,val/cls_loss,val/cls_acc,val/cls_precision,val/cls_recall,val/cls_f1,val/mat_loss,val/n_critical_max,val/rig_loss,val/loss,val/mat_precision,val/mat_recall,val/mat_f1,train/mat_precision,train/mat_recall,train/mat_f1
,,109,2.0,0.05902997404336929,0.9807999730110168,0.6903413534164429,0.7122003436088562,0.700641930103302,4.830311298370361,96.0,3.1648523807525635,8.054193496704102,0,,,,,,,,,,,,,,,
,,119,2.0,0.06450282037258148,0.9779999852180481,0.7810156941413879,0.730597734451294,0.7531436085700989,3.3858001232147217,185.0,10.475979804992676,13.92628288269043,0,,,,,,,,,,,,,,,
,,129,2.0,0.04516119509935379,0.9855999946594238,0.6649230122566223,0.8873487710952759,0.729684054851532,4.536664009094238,78.0,1.529554009437561,6.111379146575928,0,,,,,,,,,,,,,,,
,,139,2.0,0.03210406377911568,0.9872000217437744,0.7328343391418457,0.8785114288330078,0.7875999212265015,3.263815402984619,65.0,0.8645657896995544,4.16048526763916,0,,,,,,,,,,,,,,,
,,149,2.0,0.026158655062317848,0.9923999905586243,0.7403103113174438,0.7145035266876221,0.726658046245575,3.8146474361419678,61.0,0.7297312617301941,4.570537090301514,0,,,,,,,,,,,,,,,
,,159,2.0,0.057134661823511124,0.9775999784469604,0.8738057613372803,0.8204182982444763,0.8448485136032104,3.976914644241333,244.0,3.115628719329834,7.1496782302856445,0,,,,,,,,,,,,,,,
,,169,2.0,0.056721433997154236,0.9751999974250793,0.8542740345001221,0.9165728688240051,0.8825205564498901,3.8578386306762695,446.0,14.876261711120605,18.790821075439453,0,,,,,,,,,,,,,,,
,,179,2.0,0.03057241253554821,0.9944999814033508,0.8814612030982971,0.7110345363616943,0.7713439464569092,3.8757166862487793,45.0,0.27029600739479065,4.1765851974487305,0,,,,,,,,,,,,,,,
,,189,2.0,0.03545204922556877,0.986299991607666,0.7959718704223633,0.905991792678833,0.8418698906898499,3.4771900177001953,166.0,1.9629223346710205,5.475564479827881,0,,,,,,,,,,,,,,,
,,199,2.0,0.02205895446240902,0.9925000071525574,0.8412123322486877,0.8020038604736328,0.820379912853241,4.192864418029785,92.0,2.2598061561584473,6.474729537963867,0,,,,,,,,,,,,,,,
,,209,2.0,0.024073880165815353,0.9908999800682068,0.8544975519180298,0.8890658617019653,0.8709424734115601,4.542702674865723,165.0,12.155903816223145,16.722681045532227,0,,,,,,,,,,,,,,,
,,219,2.0,0.03273070231080055,0.9879000186920166,0.8959793448448181,0.8997633457183838,0.897861659526825,4.261641502380371,283.0,28.66315269470215,32.957523345947266,0,,,,,,,,,,,,,,,
,,229,2.0,0.04791037365794182,0.986299991607666,0.8278297185897827,0.8447790741920471,0.8360787630081177,4.836369037628174,158.0,8.616268157958984,13.500547409057617,0,,,,,,,,,,,,,,,
,,239,2.0,0.04806848615407944,0.9815999865531921,0.676335871219635,0.7276567220687866,0.6985533833503723,4.176313877105713,125.0,15.023674964904785,19.248058319091797,0,,,,,,,,,,,,,,,
,,249,2.0,0.017211398109793663,0.9937000274658203,0.8581799268722534,0.9664380550384521,0.9049261808395386,3.1389665603637695,141.0,7.826013088226318,10.98219108581543,0,,,,,,,,,,,,,,,
,,259,2.0,0.11178015172481537,0.9602000117301941,0.8381854295730591,0.7463539838790894,0.7839654088020325,4.713710308074951,337.0,10.77181625366211,15.597307205200195,0,,,,,,,,,,,,,,,
,,269,2.0,0.05144417658448219,0.986299991607666,0.5829933285713196,0.6013836860656738,0.5912203788757324,4.2295942306518555,53.0,0.1697108894586563,4.450749397277832,0,,,,,,,,,,,,,,,
,,279,2.0,0.0313955694437027,0.9858999848365784,0.6353965997695923,0.7480567693710327,0.6745181679725647,4.1298041343688965,65.0,0.23480094969272614,4.396000385284424,0,,,,,,,,,,,,,,,
,,289,2.0,0.05313190445303917,0.9757999777793884,0.7271296977996826,0.9241178035736084,0.7934304475784302,3.8076083660125732,137.0,29.190065383911133,33.050804138183594,0,,,,,,,,,,,,,,,
