epoch,lr-Adam,step,train/batch_size,train/cls_acc,train/cls_f1,train/cls_loss,train/cls_precision,train/cls_recall,train/loss,train/mat_loss,train/n_critical_max,train/rig_loss
,1e-05,0,,,,,,,,,,
0,,9,4.0,0.5121999979019165,0.4315328896045685,0.7248401641845703,0.49159035086631775,0.4838293194770813,9.005000114440918,7.949209213256836,1341.0,0.33095067739486694
0,,19,4.0,0.5386499762535095,0.38799619674682617,0.7153998017311096,0.4899239242076874,0.45514315366744995,8.099385261535645,7.2556939125061035,525.0,0.12829197943210602
0,,29,4.0,0.5438500046730042,0.43951651453971863,0.6975566744804382,0.5145272612571716,0.5381591320037842,8.639513969421387,7.721681118011475,1047.0,0.22027602791786194
0,,39,4.0,0.5606499910354614,0.48962268233299255,0.6898764371871948,0.5277454257011414,0.5467774271965027,9.368134498596191,8.494945526123047,2777.0,0.18331235647201538
0,,49,4.0,0.5803499817848206,0.45214399695396423,0.6838713884353638,0.5268174409866333,0.588974118232727,9.567115783691406,7.301074028015137,843.0,1.582170844078064
0,,59,4.0,0.5683000087738037,0.42478328943252563,0.6826205849647522,0.5095767378807068,0.5366730690002441,8.72633171081543,7.242165565490723,611.0,0.8015453219413757
0,,69,4.0,0.5714499950408936,0.4964868426322937,0.6867798566818237,0.5214935541152954,0.5329161882400513,9.42306137084961,8.246519088745117,1674.0,0.48976266384124756
0,,79,4.0,0.5745999813079834,0.48711827397346497,0.6776625514030457,0.520554780960083,0.5354818105697632,9.400114059448242,8.625665664672852,2849.0,0.0967852771282196
0,,89,4.0,0.5701000094413757,0.445793092250824,0.6817749738693237,0.505095362663269,0.512658953666687,10.226978302001953,7.730913162231445,802.0,1.8142900466918945
0,,99,4.0,0.5839999914169312,0.4318443536758423,0.6736613512039185,0.5051895976066589,0.5179327726364136,8.856302261352539,7.15315055847168,511.0,1.0294907093048096
0,,109,4.0,0.5861999988555908,0.4688102602958679,0.6789304614067078,0.5042791366577148,0.5081227421760559,8.742303848266602,7.9474663734436035,1713.0,0.11590626090765
0,,119,4.0,0.5965499877929688,0.48924902081489563,0.6689476370811462,0.5171844959259033,0.5302385091781616,9.649713516235352,8.518799781799316,2552.0,0.4619663655757904
0,,129,4.0,0.6080499887466431,0.4588736295700073,0.6581708788871765,0.5140500068664551,0.5403070449829102,8.455839157104492,7.614887714385986,980.0,0.1827799677848816
0,,139,4.0,0.630649983882904,0.5104252099990845,0.648723840713501,0.5455063581466675,0.6023974418640137,9.156048774719238,7.688168525695801,1164.0,0.8191570043563843
