lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/loss,epoch
1e-05,1e-05,0,,,,,,,,
,,9,3.0,0.654852032661438,0.5862666964530945,0.5001401305198669,0.50275719165802,0.38098859786987305,0.654852032661438,0
,,19,3.0,0.6442336440086365,0.623533308506012,0.49818578362464905,0.4780007600784302,0.3995792865753174,0.6442336440086365,0
,,29,3.0,0.6283151507377625,0.6586666703224182,0.5040846467018127,0.54666668176651,0.42001456022262573,0.6283151507377625,0
,,39,3.0,0.620162844657898,0.6880000233650208,0.5006731152534485,0.5082635879516602,0.4244840145111084,0.620162844657898,0
,,49,3.0,0.6046957969665527,0.7330666780471802,0.5096935629844666,0.6468836069107056,0.4483725130558014,0.6046957969665527,0
,,59,3.0,0.6048794388771057,0.7421333193778992,0.5000876188278198,0.5005245804786682,0.45339640974998474,0.6048794388771057,0
,,69,3.0,0.5889726281166077,0.7936000227928162,0.5017356872558594,0.5278382301330566,0.4545821249485016,0.5889726281166077,0
,,79,3.0,0.5851716995239258,0.7837333083152771,0.5068778395652771,0.5611746311187744,0.4663383960723877,0.5851716995239258,0
,,89,3.0,0.5743769407272339,0.819599986076355,0.5011682510375977,0.5063804388046265,0.4741072356700897,0.5743769407272339,0
,,99,3.0,0.5707555413246155,0.836733341217041,0.5017771124839783,0.506080687046051,0.48631489276885986,0.5707555413246155,0
,,109,3.0,0.559439480304718,0.8669999837875366,0.5113056898117065,0.5561326742172241,0.49958521127700806,0.559439480304718,0
,,119,3.0,0.55295729637146,0.8722000122070312,0.5143974423408508,0.5543125867843628,0.5081334114074707,0.55295729637146,0
,,129,3.0,0.552671492099762,0.8687999844551086,0.5161700248718262,0.5796505212783813,0.5074162483215332,0.552671492099762,0
,,139,3.0,0.5360265374183655,0.8974000215530396,0.5204539895057678,0.6233033537864685,0.5177616477012634,0.5360265374183655,0
,,149,3.0,0.5311557054519653,0.9121999740600586,0.5137252807617188,0.5839300155639648,0.5096155405044556,0.5311557054519653,0
,,159,3.0,0.5296663641929626,0.9190666675567627,0.5071337223052979,0.5105167627334595,0.5075857043266296,0.5296663641929626,0
,,169,3.0,0.5196901559829712,0.9200666546821594,0.5085040330886841,0.5152391195297241,0.5089336037635803,0.5196901559829712,0
,,179,3.0,0.5090336203575134,0.9363333582878113,0.517498791217804,0.5542106032371521,0.5212698578834534,0.5090336203575134,0
,,189,3.0,0.5042557120323181,0.9133999943733215,0.5371131300926208,0.6363340020179749,0.5479205250740051,0.5042557120323181,0
,,199,3.0,0.49153903126716614,0.9606000185012817,0.535796582698822,0.6679435968399048,0.5534380674362183,0.49153903126716614,0
,,209,3.0,0.5021154284477234,0.9334666728973389,0.5378106832504272,0.5434912443161011,0.5403409600257874,0.5021154284477234,0
,,219,3.0,0.48406165838241577,0.9548666477203369,0.5140119194984436,0.5567319393157959,0.517646849155426,0.48406165838241577,0
,,229,3.0,0.4842054545879364,0.9602000117301941,0.5054041147232056,0.5096352696418762,0.5060485005378723,0.4842054545879364,0
,,239,3.0,0.48741769790649414,0.9445333480834961,0.5247923135757446,0.5119097232818604,0.514057993888855,0.48741769790649414,0
,,249,3.0,0.46348536014556885,0.961733341217041,0.5065246820449829,0.5049646496772766,0.5054434537887573,0.46348536014556885,0
,,259,3.0,0.4569094479084015,0.9757999777793884,0.5479813814163208,0.5943908095359802,0.5627474784851074,0.4569094479084015,0
,,269,3.0,0.4535965025424957,0.9624000191688538,0.5450113415718079,0.5524872541427612,0.5483894944190979,0.4535965025424957,0
,,279,3.0,0.44681960344314575,0.965666651725769,0.5524511337280273,0.5279737710952759,0.5354996919631958,0.44681960344314575,0
,,289,3.0,0.4495571255683899,0.9603333473205566,0.5419006943702698,0.520154595375061,0.5257482528686523,0.4495571255683899,0
,,299,3.0,0.4388010501861572,0.9648666381835938,0.5687093734741211,0.5305213332176208,0.540614664554596,0.4388010501861572,0
,,309,3.0,0.4488936960697174,0.9657999873161316,0.501090943813324,0.5004395246505737,0.4989764392375946,0.4488936960697174,0
,,319,3.0,0.4392399191856384,0.9628000259399414,0.5238890647888184,0.5091422200202942,0.5111345648765564,0.4392399191856384,0
,,329,3.0,0.4389171004295349,0.954200029373169,0.4792405962944031,0.49767038226127625,0.48828163743019104,0.4389171004295349,0
,,339,3.0,0.4205220639705658,0.9715333580970764,0.4939624071121216,0.4967585504055023,0.4951110780239105,0.4205220639705658,0
,,349,3.0,0.42527860403060913,0.97079998254776,0.6444625854492188,0.5428650379180908,0.5631620287895203,0.42527860403060913,0
,,359,3.0,0.41483360528945923,0.968999981880188,0.5282400846481323,0.5148434638977051,0.5185976028442383,0.41483360528945923,0
,,369,3.0,0.4143454432487488,0.9677333235740662,0.5037623047828674,0.5004902482032776,0.4958983063697815,0.4143454432487488,0
,,379,3.0,0.3991142511367798,0.9796000123023987,0.5078949928283691,0.5019986629486084,0.5012983679771423,0.3991142511367798,0
,,389,3.0,0.39732426404953003,0.9683333039283752,0.5439965128898621,0.5161483883857727,0.5216507911682129,0.39732426404953003,0
