lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch,val/cls_loss,val/cls_acc,val/cls_precision,val/cls_recall,val/cls_f1,val/mat_loss,val/n_critical_max,val/rig_loss,val/loss,val/mat_precision,val/mat_recall,val/mat_f1
1e-06,9.999999999999999e-06,0,,,,,,,,,,,,,,,,,,,,,,,
,,9,3.0,0.7216566801071167,0.7221333384513855,0.49787524342536926,0.46594640612602234,0.42804062366485596,12.868844032287598,99.0,2.0111327171325684,15.601633071899414,0,,,,,,,,,,,,
,,19,3.0,0.46054205298423767,0.8329333066940308,0.5011977553367615,0.5081266164779663,0.4734465479850769,13.534806251525879,152.0,9.75691032409668,23.75225830078125,0,,,,,,,,,,,,
,,29,3.0,0.8451480269432068,0.7461333274841309,0.4975413382053375,0.47700679302215576,0.44200509786605835,8.508459091186523,277.0,102.7940902709961,112.14769744873047,0,,,,,,,,,,,,
,,39,3.0,0.4555602967739105,0.8325999975204468,0.4917181134223938,0.43863821029663086,0.45746639370918274,21.114112854003906,154.0,0.949239194393158,22.51891326904297,0,,,,,,,,,,,,
,,49,3.0,0.5655882954597473,0.791533350944519,0.5002996325492859,0.503709614276886,0.4544174075126648,22.03287124633789,142.0,5.263033390045166,27.861492156982422,0,,,,,,,,,,,,
,,59,3.0,0.4271358251571655,0.8634666800498962,0.4902452528476715,0.46929121017456055,0.4742891490459442,18.963281631469727,221.0,15.326521873474121,34.71693801879883,0,,,,,,,,,,,,
,,69,3.0,0.28704482316970825,0.8934000134468079,0.49853378534317017,0.4870867133140564,0.4786136746406555,6.250371932983398,78.0,0.44430065155029297,6.981717586517334,0,,,,,,,,,,,,
,,79,3.0,0.481320321559906,0.8243333101272583,0.4975336194038391,0.48208415508270264,0.4650264084339142,11.152021408081055,109.0,1.4448316097259521,13.078173637390137,0,,,,,,,,,,,,
,,89,3.0,0.6087676286697388,0.7996666431427002,0.4891553819179535,0.4368777275085449,0.45114684104919434,12.700621604919434,280.0,4.933582782745361,18.242971420288086,0,,,,,,,,,,,,
,,99,3.0,0.8288627862930298,0.7963333129882812,0.48435690999031067,0.4361950159072876,0.4515690207481384,9.897211074829102,334.0,8.948429107666016,19.674503326416016,0,,,,,,,,,,,,
,,109,3.0,0.3431240916252136,0.8984000086784363,0.49687305092811584,0.48898693919181824,0.4859907031059265,17.389097213745117,189.0,0.4278651773929596,18.16008758544922,0,,,,,,,,,,,,
,,119,3.0,0.38929691910743713,0.8848666548728943,0.4962368607521057,0.48815831542015076,0.48510172963142395,14.233793258666992,241.0,8.464367866516113,23.08745765686035,0,,,,,,,,,,,,
,,129,3.0,0.4132617115974426,0.8599333167076111,0.5069242119789124,0.5353745222091675,0.4913049638271332,14.770733833312988,218.0,5.323256015777588,20.507251739501953,0,,,,,,,,,,,,
,,139,3.0,0.41493308544158936,0.8238666653633118,0.5043662190437317,0.5418155193328857,0.47184988856315613,17.3820743560791,140.0,8.73259162902832,26.529598236083984,0,,,,,,,,,,,,
,,149,3.0,0.43527916073799133,0.8264666795730591,0.4948046803474426,0.442311555147171,0.45589736104011536,11.19776725769043,157.0,5.1462788581848145,16.779325485229492,0,,,,,,,,,,,,
,,159,3.0,0.35917404294013977,0.9070666432380676,0.528940737247467,0.5576756596565247,0.5348917245864868,9.61577320098877,301.0,11.700553894042969,21.675500869750977,0,,,,,,,,,,,,
,,169,3.0,0.3204045295715332,0.9112666845321655,0.48409831523895264,0.46969279646873474,0.4767867624759674,16.165281295776367,290.0,2.096588134765625,18.582273483276367,0,,,,,,,,,,,,
,,179,3.0,0.19987235963344574,0.934333324432373,0.4949122667312622,0.4849584102630615,0.48804527521133423,8.396777153015137,128.0,2.6077888011932373,11.204438209533691,0,,,,,,,,,,,,
,,189,3.0,0.3588094413280487,0.9061999917030334,0.49278444051742554,0.4753134548664093,0.4810042381286621,9.658329010009766,209.0,10.662259101867676,20.679397583007812,0,,,,,,,,,,,,
