lr-Adam,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch,val/cls_loss,val/cls_acc,val/cls_precision,val/cls_recall,val/cls_f1,val/mat_loss,val/n_critical_max,val/rig_loss,val/loss,val/mat_precision,val/mat_recall,val/mat_f1
1e-06,0,,,,,,,,,,,,,,,,,,,,,,,
,9,4.0,0.04352939873933792,0.9817500114440918,0.8060013651847839,0.9326568841934204,0.8575453758239746,4.266676902770996,309.0,34.031410217285156,38.341617584228516,0,,,,,,,,,,,,
,19,4.0,0.07864530384540558,0.9751499891281128,0.8137969970703125,0.7338474988937378,0.7674973011016846,4.604251384735107,211.0,3.5277273654937744,8.210623741149902,0,,,,,,,,,,,,
,29,4.0,0.016332359984517097,0.9945499897003174,0.7784869074821472,0.711493968963623,0.7403364181518555,3.467974901199341,60.0,0.8606969714164734,4.345004081726074,0,,,,,,,,,,,,
,39,4.0,0.04813569784164429,0.9828000068664551,0.8283289670944214,0.9166665077209473,0.8668088912963867,3.4268596172332764,239.0,45.8892707824707,49.36426544189453,0,,,,,,,,,,,,
,49,4.0,0.07070650160312653,0.9752500057220459,0.6347106099128723,0.6090423464775085,0.6204050779342651,3.894162654876709,120.0,4.511669158935547,8.47653865814209,0,,,,,,,,,,,,
,59,4.0,0.036006782203912735,0.9863499999046326,0.7475965619087219,0.8661785125732422,0.7949039340019226,3.2617862224578857,161.0,10.640089988708496,13.937883377075195,0,,,,,,,,,,,,
,69,4.0,0.03641897439956665,0.9875500202178955,0.7918422818183899,0.7697073817253113,0.780320405960083,3.780566453933716,84.0,0.9635041356086731,4.780489444732666,0,,,,,,,,,,,,
,79,4.0,0.066335029900074,0.9760500192642212,0.8742977380752563,0.8575588464736938,0.8657122850418091,5.448252201080322,358.0,8.000853538513184,13.515440940856934,0,,,,,,,,,,,,
,89,4.0,0.025524094700813293,0.9919000267982483,0.8474583029747009,0.8178352117538452,0.8319664001464844,5.0376996994018555,106.0,0.8612921833992004,5.924516201019287,0,,,,,,,,,,,,
,99,4.0,0.03742831200361252,0.9855499863624573,0.8289745450019836,0.8341487646102905,0.8315402269363403,4.117884159088135,272.0,15.889447212219238,20.04475975036621,0,,,,,,,,,,,,
,109,4.0,0.032598827034235,0.9877499938011169,0.8088811635971069,0.8244644403457642,0.8164722323417664,3.8663129806518555,240.0,56.20329666137695,60.10220718383789,0,,,,,,,,,,,,
,119,4.0,0.028295159339904785,0.9888499975204468,0.7133500576019287,0.8123050928115845,0.7531977891921997,3.8517868518829346,101.0,6.628117561340332,10.508199691772461,0,,,,,,,,,,,,
,129,4.0,0.07666884362697601,0.9690999984741211,0.8792867660522461,0.8299552202224731,0.8526319265365601,5.112936019897461,351.0,8.674914360046387,13.864519119262695,0,,,,,,,,,,,,
,139,4.0,0.07276825606822968,0.975350022315979,0.7191532850265503,0.6563260555267334,0.6820822954177856,5.143861770629883,366.0,7.871551036834717,13.088180541992188,0,,,,,,,,,,,,
,149,4.0,0.043470676988363266,0.9853500127792358,0.7656010389328003,0.7348440289497375,0.7492334842681885,4.0673956871032715,137.0,5.354793548583984,9.465660095214844,0,,,,,,,,,,,,
,159,4.0,0.037326324731111526,0.9845499992370605,0.671607494354248,0.7292374968528748,0.696087121963501,4.405774116516113,114.0,0.8548281788825989,5.297928810119629,0,,,,,,,,,,,,
,169,4.0,0.044159721583127975,0.9832000136375427,0.7749916315078735,0.8993571996688843,0.8249623775482178,3.5736968517303467,182.0,5.605312824249268,9.223169326782227,0,,,,,,,,,,,,
,179,4.0,0.03612082079052925,0.9878000020980835,0.9045252799987793,0.8810402154922485,0.8924062252044678,4.215819358825684,352.0,5.300373077392578,9.552312850952148,0,,,,,,,,,,,,
