epoch,lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_acc,train/cls_f1,train/cls_loss,train/cls_precision,train/cls_recall,train/loss,val/cls_acc,val/cls_f1,val/cls_loss,val/cls_precision,val/cls_recall,val/loss
,1e-05,1e-05,0,,,,,,,,,,,,,
0,,,9,3.0,0.6259333491325378,0.40709346532821655,0.6464852690696716,0.5083439946174622,0.6428675055503845,0.6464852690696716,,,,,,
0,,,19,3.0,0.6398000121116638,0.4097093641757965,0.6403825879096985,0.49965471029281616,0.49638697504997253,0.6403825879096985,,,,,,
0,,,29,3.0,0.662066638469696,0.417192280292511,0.6279535293579102,0.5004366636276245,0.5048572421073914,0.6279535293579102,,,,,,
0,,,39,3.0,0.6968666911125183,0.43527835607528687,0.6170263886451721,0.5078015327453613,0.6051725149154663,0.6170263886451721,,,,,,
0,,,49,3.0,0.7278000116348267,0.4384886920452118,0.6097751259803772,0.5035566091537476,0.5528756976127625,0.6097751259803772,,,,,,
0,,,59,3.0,0.7564666867256165,0.4756733775138855,0.5968241691589355,0.514435350894928,0.5908675193786621,0.5968241691589355,,,,,,
0,,,69,3.0,0.7911999821662903,0.4619373083114624,0.5834954380989075,0.5078732967376709,0.6469124555587769,0.5834954380989075,,,,,,
0,,,79,3.0,0.7893999814987183,0.46687209606170654,0.5835400223731995,0.5042499899864197,0.5313260555267334,0.5835400223731995,,,,,,
0,,,89,3.0,0.826200008392334,0.4731641709804535,0.5765621066093445,0.5003191828727722,0.5018466711044312,0.5765621066093445,,,,,,
0,,,99,3.0,0.8322666883468628,0.4838552474975586,0.570912778377533,0.5003042817115784,0.5010280013084412,0.570912778377533,,,,,,
0,,,109,3.0,0.8657333254814148,0.5076977014541626,0.5565413236618042,0.5173285603523254,0.5932778716087341,0.5565413236618042,,,,,,
0,,,119,3.0,0.8738666772842407,0.5117442607879639,0.5487217903137207,0.5159206390380859,0.5537700653076172,0.5487217903137207,,,,,,
0,,,129,3.0,0.8763333559036255,0.4982287585735321,0.5436617732048035,0.5093752145767212,0.546488881111145,0.5436617732048035,,,,,,
0,,,139,3.0,0.9143333435058594,0.5266380906105042,0.53523188829422,0.5233508944511414,0.6063559055328369,0.53523188829422,,,,,,
0,,,149,3.0,0.9020000100135803,0.49690157175064087,0.5321299433708191,0.5061337351799011,0.5317482352256775,0.5321299433708191,,,,,,
0,,,159,3.0,0.9040666818618774,0.4934878945350647,0.5272548794746399,0.49558454751968384,0.49332207441329956,0.5272548794746399,,,,,,
0,,,169,3.0,0.9149333238601685,0.5219780206680298,0.5176036953926086,0.518849790096283,0.535140335559845,0.5176036953926086,,,,,,
0,,,179,3.0,0.9374666810035706,0.49632275104522705,0.5084549188613892,0.5002572536468506,0.500736653804779,0.5084549188613892,,,,,,
0,,,189,3.0,0.9487333297729492,0.5328558087348938,0.4999861717224121,0.5249817371368408,0.564881443977356,0.4999861717224121,,,,,,
0,,,199,3.0,0.9545333385467529,0.5107651948928833,0.49581530690193176,0.5097337961196899,0.5420022010803223,0.49581530690193176,,,,,,
0,,,209,3.0,0.9277999997138977,0.5434210896492004,0.5014326572418213,0.5378278493881226,0.552946150302887,0.5014326572418213,,,,,,
0,,,219,3.0,0.9535333514213562,0.5087275505065918,0.48809316754341125,0.5080308318138123,0.5243265628814697,0.48809316754341125,,,,,,
0,,,229,3.0,0.9535999894142151,0.49520260095596313,0.483380526304245,0.49663615226745605,0.49462923407554626,0.483380526304245,,,,,,
