lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch
1e-05,1e-05,0,,,,,,,,,,,
,,9,3.0,0.6652283668518066,0.5527999997138977,0.4983710050582886,0.46733230352401733,0.36548373103141785,5.2972187995910645,99.0,1.1985117197036743,7.160958766937256,0
,,19,3.0,0.6637310981750488,0.5741333365440369,0.4974609911441803,0.4678071141242981,0.3794298470020294,6.120819568634033,152.0,2.2851598262786865,9.069710731506348,0
,,29,3.0,0.6545223593711853,0.5808666944503784,0.498849093914032,0.485748291015625,0.38391992449760437,6.5106306076049805,277.0,14.051538467407227,21.216691970825195,0
,,39,3.0,0.6510871052742004,0.5942666530609131,0.4960811734199524,0.4456772208213806,0.3842673599720001,6.289644241333008,154.0,0.7841892838478088,7.724920749664307,0
,,49,3.0,0.6396408081054688,0.6128666400909424,0.5012791752815247,0.5233764052391052,0.3933578431606293,5.737460613250732,142.0,6.537289619445801,12.914390563964844,0
,,59,3.0,0.6456496715545654,0.59579998254776,0.4995400011539459,0.4964005947113037,0.4001246988773346,6.655449390411377,221.0,4.909677028656006,12.210775375366211,0
,,69,3.0,0.6346301436424255,0.6258000135421753,0.4957173764705658,0.4007539451122284,0.3892618715763092,5.0859856605529785,78.0,0.18342898786067963,5.9040446281433105,0
,,79,3.0,0.6316877603530884,0.6281999945640564,0.5010316967964172,0.5128690600395203,0.4040749967098236,5.804675102233887,109.0,1.3396391868591309,7.776001930236816,0
,,89,3.0,0.6217238903045654,0.6471333503723145,0.5074673295021057,0.5679430365562439,0.4242362976074219,6.341492176055908,280.0,1.2890609502792358,8.252276420593262,0
,,99,3.0,0.6317945718765259,0.6310666799545288,0.4847742021083832,0.4011789858341217,0.4006930887699127,6.704919815063477,334.0,2.3360016345977783,9.67271614074707,0
,,109,3.0,0.619316577911377,0.6604666709899902,0.493579238653183,0.4342077970504761,0.4096681773662567,6.042734146118164,189.0,0.8133798241615295,7.475430488586426,0
,,119,3.0,0.6123082637786865,0.6801333427429199,0.508974552154541,0.5735253691673279,0.43970295786857605,6.381339073181152,241.0,5.699148654937744,12.69279670715332,0
,,129,3.0,0.6166947484016418,0.6739333271980286,0.49532783031463623,0.45351696014404297,0.41671261191368103,6.3477783203125,218.0,0.6297826170921326,7.5942559242248535,0
,,139,3.0,0.603025496006012,0.6797999739646912,0.5035536289215088,0.5526111721992493,0.4228084683418274,5.787062644958496,140.0,6.815056800842285,13.205144882202148,0
,,149,3.0,0.602514922618866,0.6826666593551636,0.4989152252674103,0.48099446296691895,0.4158121347427368,5.871263027191162,157.0,1.6371772289276123,8.110955238342285,0
