lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch
,,369,2.0,0.03402075171470642,0.9911999702453613,0.7926262617111206,0.7762299180030823,0.7841848731040955,4.744815826416016,84.0,7.854327201843262,12.633163452148438,0
,,379,2.0,0.0888134241104126,0.968999981880188,0.7328064441680908,0.8763735294342041,0.7858301401138306,6.450799942016602,220.0,83.07174682617188,89.61135864257812,0
,,389,2.0,0.04175649583339691,0.9843000173568726,0.7427158951759338,0.9362267255783081,0.8104109764099121,3.647808074951172,106.0,12.205461502075195,15.895026206970215,0
,,399,2.0,0.09574105590581894,0.9648000001907349,0.7405097484588623,0.6797021627426147,0.705206036567688,4.868063926696777,325.0,3.482630729675293,8.446435928344727,0
,,409,2.0,0.09419970959424973,0.9718000292778015,0.8108565807342529,0.6934856176376343,0.7373151183128357,5.527952194213867,271.0,21.97762107849121,27.599773406982422,0
,,419,2.0,0.1034027710556984,0.9589999914169312,0.7450337409973145,0.7327318787574768,0.7387016415596008,6.379482746124268,297.0,9.663923263549805,16.146808624267578,0
,,429,2.0,0.03754148259758949,0.9872000217437744,0.6418110132217407,0.7736872434616089,0.6860870718955994,4.390705108642578,53.0,0.5762412548065186,5.004487991333008,0
,,439,2.0,0.03325425088405609,0.988099992275238,0.7764493227005005,0.8296322822570801,0.8006095886230469,3.8398168087005615,113.0,2.4481112957000732,6.3211822509765625,0
,,449,2.0,0.04927684739232063,0.9890999794006348,0.6671134829521179,0.5600631237030029,0.5874823331832886,4.987080097198486,85.0,3.104618549346924,8.140975952148438,0
,,459,2.0,0.0596725232899189,0.9794999957084656,0.6230897903442383,0.8340460658073425,0.6774533987045288,3.4871060848236084,62.0,5.562927722930908,9.10970687866211,0
,,469,2.0,0.05250696837902069,0.9825999736785889,0.7415048480033875,0.6475923657417297,0.6826390624046326,5.345261096954346,159.0,2.494807720184326,7.892575740814209,0
,,479,2.0,0.03298356384038925,0.9889000058174133,0.53296959400177,0.5792686939239502,0.5459883213043213,3.0824601650238037,19.0,0.26942962408065796,3.384873390197754,0
,,489,2.0,0.05563659593462944,0.9797000288963318,0.5847690105438232,0.7894315719604492,0.6284277439117432,4.006392002105713,44.0,0.15350669622421265,4.2155351638793945,0
,,499,2.0,0.05373615771532059,0.9800000190734863,0.766194224357605,0.8495471477508545,0.8018168210983276,3.7056076526641846,113.0,19.90109634399414,23.66044044494629,0
