epoch,lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_acc,train/cls_f1,train/cls_loss,train/cls_precision,train/cls_recall,train/loss,train/mat_f1,train/mat_loss,train/mat_precision,train/mat_recall,train/n_critical_max,val/cls_acc,val/cls_f1,val/cls_loss,val/cls_precision,val/cls_recall,val/loss,val/mat_f1,val/mat_loss,val/mat_precision,val/mat_recall,val/n_critical_max
,1e-06,9.999999999999999e-06,0,,,,,,,,,,,,,,,,,,,,,,,
0,,,9,4.0,0.9150999784469604,0.4921071231365204,0.2512394189834595,0.5019063949584961,0.5099239945411682,0.2512394189834595,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,19,4.0,0.8509500026702881,0.4771004617214203,0.61948162317276,0.49591267108917236,0.48381489515304565,0.61948162317276,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,29,4.0,0.8784499764442444,0.4788564443588257,0.39191991090774536,0.49436792731285095,0.4784000813961029,0.39191991090774536,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,39,4.0,0.8935499787330627,0.47927162051200867,0.32030561566352844,0.4926908612251282,0.47434884309768677,0.32030561566352844,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,49,4.0,0.8295999765396118,0.46562954783439636,0.46163612604141235,0.4974895417690277,0.48117566108703613,0.46163612604141235,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,59,4.0,0.9143000245094299,0.5302110910415649,0.2894871234893799,0.5251262187957764,0.5497770309448242,0.2894871234893799,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,69,4.0,0.9259999990463257,0.4887559711933136,0.3017435371875763,0.497565358877182,0.4902452826499939,0.3017435371875763,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,79,4.0,0.9189500212669373,0.48913484811782837,0.28130602836608887,0.49622660875320435,0.48923373222351074,0.28130602836608887,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,89,4.0,0.9230999946594238,0.4993489682674408,0.38133764266967773,0.49981969594955444,0.49976083636283875,0.38133764266967773,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,99,4.0,0.9099500179290771,0.47753164172172546,0.2213928997516632,0.49936243891716003,0.47771286964416504,0.2213928997516632,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,109,4.0,0.9282000064849854,0.507103443145752,0.2730101943016052,0.5080937147140503,0.522757351398468,0.2730101943016052,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,119,4.0,0.9296500086784363,0.5015391111373901,0.2500884532928467,0.5019047260284424,0.5027833580970764,0.2500884532928467,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,129,4.0,0.9377999901771545,0.49723881483078003,0.20307764410972595,0.5028616189956665,0.513922393321991,0.20307764410972595,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,139,4.0,0.9212499856948853,0.4857644736766815,0.22693084180355072,0.49587610363960266,0.48375219106674194,0.22693084180355072,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,149,4.0,0.9609000086784363,0.5024938583374023,0.13591808080673218,0.5038734674453735,0.5148206353187561,0.13591808080673218,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,159,4.0,0.9551500082015991,0.5413405895233154,0.17289970815181732,0.5352920889854431,0.5513891577720642,0.17289970815181732,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,169,4.0,0.9316499829292297,0.5244469046592712,0.21497033536434174,0.519910991191864,0.5514557361602783,0.21497033536434174,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,179,4.0,0.9088500142097473,0.503044068813324,0.37564072012901306,0.5040345788002014,0.5070585012435913,0.37564072012901306,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,189,4.0,0.9567999839782715,0.4958074986934662,0.28784745931625366,0.49538448452949524,0.49725914001464844,0.28784745931625366,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,199,4.0,0.9108999967575073,0.4805753827095032,0.23929333686828613,0.4930781126022339,0.47336557507514954,0.23929333686828613,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,209,4.0,0.9645500183105469,0.5060204267501831,0.15665224194526672,0.5057961344718933,0.5062994956970215,0.15665224194526672,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,219,4.0,0.9481499791145325,0.5322309136390686,0.22242051362991333,0.530007004737854,0.5350437164306641,0.22242051362991333,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,229,4.0,0.9577999711036682,0.5192745327949524,0.1337289959192276,0.514840304851532,0.56645667552948,0.1337289959192276,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,239,4.0,0.9634000062942505,0.4947430491447449,0.23172594606876373,0.4937525987625122,0.4964625835418701,0.23172594606876373,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,249,4.0,0.9327499866485596,0.5093099474906921,0.22758911550045013,0.50848788022995,0.514762282371521,0.22758911550045013,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,259,4.0,0.940750002861023,0.5010460615158081,0.2752160131931305,0.5010553598403931,0.5012151598930359,0.2752160131931305,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,269,4.0,0.9074500203132629,0.5075259208679199,0.39833182096481323,0.5078649520874023,0.5148369669914246,0.39833182096481323,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,279,4.0,0.9607999920845032,0.5210912823677063,0.16329844295978546,0.5185684561729431,0.5251177549362183,0.16329844295978546,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,289,4.0,0.9755499958992004,0.5134550929069519,0.12041580677032471,0.5130802989006042,0.5138641595840454,0.12041580677032471,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,299,4.0,0.909250020980835,0.4800526201725006,0.30324265360832214,0.49320632219314575,0.47256597876548767,0.30324265360832214,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,309,4.0,0.9637500047683716,0.5205907821655273,0.16424523293972015,0.527066171169281,0.517297625541687,0.16424523293972015,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,319,4.0,0.9420999884605408,0.500154972076416,0.20802736282348633,0.5011942982673645,0.5021765828132629,0.20802736282348633,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,329,4.0,0.95660001039505,0.4957241117954254,0.25067785382270813,0.4953251779079437,0.4973601698875427,0.25067785382270813,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,339,4.0,0.9510999917984009,0.5379846692085266,0.28131166100502014,0.5486716032028198,0.5320612788200378,0.28131166100502014,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,,,349,4.0,0.9736499786376953,0.5382207632064819,0.1279829442501068,0.5320587158203125,0.5483527779579163,0.1279829442501068,0.0,0.0,0.0,0.0,,,,,,,,,,,,
