lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch
1e-06,9.999999999999999e-06,0,,,,,,,,,,,
,,9,3.0,0.42125511169433594,0.840666651725769,0.4978027939796448,0.47679615020751953,0.464484304189682,4.674667835235596,103.0,3.7975547313690186,8.893477439880371,0
,,19,3.0,0.7248368263244629,0.7968000173568726,0.5133529305458069,0.6131527423858643,0.47999799251556396,8.317789077758789,146.0,9.654675483703613,18.69729995727539,0
,,29,3.0,0.5050886869430542,0.8064666390419006,0.5077824592590332,0.5600340366363525,0.4755685329437256,6.980900287628174,276.0,35.26490020751953,42.75088882446289,0
,,39,3.0,0.45935940742492676,0.8384000062942505,0.5070619583129883,0.5527335405349731,0.48239341378211975,8.767374992370605,154.0,2.0826711654663086,11.309405326843262,0
,,49,3.0,0.526684045791626,0.8274000287055969,0.5013728141784668,0.5141168236732483,0.4672628343105316,6.710362434387207,148.0,9.969635963439941,17.206682205200195,0
,,59,3.0,0.5514008402824402,0.8478666543960571,0.5157474875450134,0.5614187717437744,0.5060571432113647,8.767081260681152,217.0,10.454776763916016,19.773258209228516,0
,,69,3.0,0.28497496247291565,0.8772666454315186,0.500695526599884,0.5073736310005188,0.4773782193660736,4.657768249511719,78.0,0.4245462417602539,5.3672895431518555,0
,,79,3.0,0.5209333896636963,0.8111333250999451,0.4940263628959656,0.4544741213321686,0.45609769225120544,6.628113746643066,109.0,2.905043840408325,10.05409049987793,0
,,89,3.0,0.5910565853118896,0.7835333347320557,0.4993818998336792,0.49595901370048523,0.460497111082077,6.517529487609863,280.0,4.421832084655762,11.530418395996094,0
