lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch
1e-06,9.999999999999999e-06,0,,,,,,,,,,,
,,9,3.0,0.4264809191226959,0.8235333561897278,0.49919623136520386,0.49088603258132935,0.4618736803531647,5.039721965789795,99.0,3.8915114402770996,9.35771369934082,0
,,19,3.0,0.7351170778274536,0.8059333562850952,0.5138364434242249,0.6110243797302246,0.48387256264686584,7.61550760269165,152.0,8.243532180786133,16.594158172607422,0
,,29,3.0,0.5344786047935486,0.8091333508491516,0.5088845491409302,0.5679251551628113,0.4779941439628601,7.10548734664917,277.0,52.72651672363281,60.36648178100586,0
,,39,3.0,0.47369128465652466,0.8308666944503784,0.5058611631393433,0.5456365346908569,0.4783158600330353,8.730716705322266,154.0,3.7252252101898193,12.929633140563965,0
,,49,3.0,0.5182651877403259,0.8332666754722595,0.5036091804504395,0.5373754501342773,0.4721130430698395,6.2052202224731445,142.0,17.045570373535156,23.76905632019043,0
,,59,3.0,0.5516586303710938,0.8475333452224731,0.5182974338531494,0.5712711811065674,0.5097366571426392,8.869089126586914,221.0,17.837886810302734,27.258634567260742,0
,,69,3.0,0.2990058958530426,0.8836666941642761,0.49745306372642517,0.4756585955619812,0.47420576214790344,4.720640659332275,78.0,0.4489654302597046,5.468612194061279,0
,,79,3.0,0.528274655342102,0.8081333041191101,0.49754470586776733,0.48070889711380005,0.46030914783477783,6.992363929748535,109.0,2.687584638595581,10.208223342895508,0
,,89,3.0,0.6126596331596375,0.7814666628837585,0.4993235468864441,0.49563801288604736,0.46019718050956726,6.622539520263672,280.0,4.591522693634033,11.82672119140625,0
,,99,3.0,0.6790919303894043,0.8234000205993652,0.4938874840736389,0.47781336307525635,0.4720010459423065,6.491661548614502,334.0,4.579034328460693,11.749788284301758,0
,,109,3.0,0.39055490493774414,0.8805333375930786,0.49339985847473145,0.4724248945713043,0.4764348566532135,7.692042827606201,189.0,0.44898390769958496,8.53158187866211,0
,,119,3.0,0.49897482991218567,0.8682666420936584,0.4903731346130371,0.4653315246105194,0.47267234325408936,5.703887462615967,241.0,10.561483383178711,16.764345169067383,0
