epoch,lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_acc,train/cls_f1,train/cls_loss,train/cls_precision,train/cls_recall,train/loss,train/mat_f1,train/mat_loss,train/mat_precision,train/mat_recall
,1e-06,9.999999999999999e-06,0,,,,,,,,,,,
0,,,9,4.0,0.986549973487854,0.8533191680908203,0.029466930776834488,0.8690872192382812,0.8389151096343994,0.029466930776834488,0.0,0.0,0.0,0.0
0,,,19,4.0,0.9907500147819519,0.854238748550415,0.022160453721880913,0.8791662454605103,0.8324962854385376,0.022160453721880913,0.0,0.0,0.0,0.0
0,,,29,4.0,0.9728500247001648,0.7745716571807861,0.06427345424890518,0.854004442691803,0.7259789109230042,0.06427345424890518,0.0,0.0,0.0,0.0
0,,,39,4.0,0.9842000007629395,0.822712242603302,0.03527481481432915,0.864343523979187,0.7900372743606567,0.03527481481432915,0.0,0.0,0.0,0.0
0,,,49,4.0,0.9904500246047974,0.8337693214416504,0.02630390226840973,0.8824589848518372,0.7963980436325073,0.02630390226840973,0.0,0.0,0.0,0.0
0,,,59,4.0,0.9830499887466431,0.8367897272109985,0.036737315356731415,0.8252573013305664,0.8492359519004822,0.036737315356731415,0.0,0.0,0.0,0.0
0,,,69,4.0,0.987500011920929,0.8357306718826294,0.027087213471531868,0.8565052151679993,0.8173478245735168,0.027087213471531868,0.0,0.0,0.0,0.0
0,,,79,4.0,0.9889000058174133,0.8865957856178284,0.027137719094753265,0.8888606429100037,0.8843587636947632,0.027137719094753265,0.0,0.0,0.0,0.0
0,,,89,4.0,0.9797499775886536,0.8536341190338135,0.04776889458298683,0.8538715839385986,0.853397011756897,0.04776889458298683,0.0,0.0,0.0,0.0
0,,,99,4.0,0.9893500208854675,0.8074600696563721,0.040233809500932693,0.9003044366836548,0.75040203332901,0.040233809500932693,0.0,0.0,0.0,0.0
0,,,109,4.0,0.9919000267982483,0.8638380169868469,0.018190773203969002,0.8674333095550537,0.8603149056434631,0.018190773203969002,0.0,0.0,0.0,0.0
0,,,119,4.0,0.9889000058174133,0.8960537910461426,0.02518838457763195,0.9039288759231567,0.88849937915802,0.02518838457763195,0.0,0.0,0.0,0.0
0,,,129,4.0,0.9901999831199646,0.9028902649879456,0.026723263785243034,0.916212797164917,0.8904427289962769,0.026723263785243034,0.0,0.0,0.0,0.0
0,,,139,4.0,0.9772499799728394,0.8823235034942627,0.05783987417817116,0.8950419425964355,0.870500385761261,0.05783987417817116,0.0,0.0,0.0,0.0
0,,,149,4.0,0.9962999820709229,0.7648941278457642,0.011369009502232075,0.8373554944992065,0.7182475924491882,0.011369009502232075,0.0,0.0,0.0,0.0
0,,,159,4.0,0.9785000085830688,0.8665650486946106,0.04700960963964462,0.8931269645690918,0.8436939716339111,0.04700960963964462,0.0,0.0,0.0,0.0
0,,,169,4.0,0.9930499792098999,0.8996497392654419,0.025415366515517235,0.9058728814125061,0.8936222195625305,0.025415366515517235,0.0,0.0,0.0,0.0
0,,,179,4.0,0.9874500036239624,0.8336020708084106,0.02844359166920185,0.8937601447105408,0.7899792194366455,0.02844359166920185,0.0,0.0,0.0,0.0
0,,,189,4.0,0.9879999756813049,0.8801892995834351,0.026565954089164734,0.871066689491272,0.8898031711578369,0.026565954089164734,0.0,0.0,0.0,0.0
0,,,199,4.0,0.9825000166893005,0.8681039810180664,0.03950894623994827,0.8571063280105591,0.8798680305480957,0.03950894623994827,0.0,0.0,0.0,0.0
0,,,209,4.0,0.9801499843597412,0.7716400623321533,0.04132319614291191,0.7743563055992126,0.7689807415008545,0.04132319614291191,0.0,0.0,0.0,0.0
0,,,219,4.0,0.9869499802589417,0.8678274154663086,0.028368987143039703,0.8998987078666687,0.8407779932022095,0.028368987143039703,0.0,0.0,0.0,0.0
0,,,229,4.0,0.9833499789237976,0.8570741415023804,0.035842716693878174,0.8841866850852966,0.8337792158126831,0.035842716693878174,0.0,0.0,0.0,0.0
0,,,239,4.0,0.9871000051498413,0.8597545623779297,0.030439184978604317,0.9053995609283447,0.8237887620925903,0.030439184978604317,0.0,0.0,0.0,0.0
0,,,249,4.0,0.9833499789237976,0.8563787937164307,0.036843400448560715,0.8686696290969849,0.844939112663269,0.036843400448560715,0.0,0.0,0.0,0.0
0,,,259,4.0,0.9889000058174133,0.8668829202651978,0.02471526712179184,0.842592179775238,0.8951126337051392,0.02471526712179184,0.0,0.0,0.0,0.0
0,,,269,4.0,0.9929500222206116,0.8338826894760132,0.017850559204816818,0.8362088203430176,0.8315895199775696,0.017850559204816818,0.0,0.0,0.0,0.0
0,,,279,4.0,0.9840499758720398,0.8007029294967651,0.03405093401670456,0.8288124799728394,0.7772350311279297,0.03405093401670456,0.0,0.0,0.0,0.0
0,,,289,4.0,0.9912999868392944,0.8418802618980408,0.023091839626431465,0.9366261959075928,0.7816916704177856,0.023091839626431465,0.0,0.0,0.0,0.0
0,,,299,4.0,0.9897500276565552,0.7550933361053467,0.027900204062461853,0.775081992149353,0.7378880977630615,0.027900204062461853,0.0,0.0,0.0,0.0
0,,,309,4.0,0.9825000166893005,0.8579027056694031,0.05422322452068329,0.8934562802314758,0.8286502361297607,0.05422322452068329,0.0,0.0,0.0,0.0
0,,,319,4.0,0.9926999807357788,0.9187842607498169,0.01756776124238968,0.9278772473335266,0.9100892543792725,0.01756776124238968,0.0,0.0,0.0,0.0
0,,,329,4.0,0.9936500191688538,0.8088468313217163,0.014781401492655277,0.8401151299476624,0.7829419374465942,0.014781401492655277,0.0,0.0,0.0,0.0
0,,,339,4.0,0.98785001039505,0.913685142993927,0.03031054139137268,0.917259931564331,0.9101764559745789,0.03031054139137268,0.0,0.0,0.0,0.0
0,,,349,4.0,0.991100013256073,0.7572137117385864,0.022673390805721283,0.857353687286377,0.7015955448150635,0.022673390805721283,0.0,0.0,0.0,0.0
0,,,359,4.0,0.9786999821662903,0.8645693063735962,0.04693479463458061,0.8667111396789551,0.8624550700187683,0.04693479463458061,0.0,0.0,0.0,0.0
0,,,369,4.0,0.9888499975204468,0.8091435432434082,0.03500582277774811,0.8843542337417603,0.7592144012451172,0.03500582277774811,0.0,0.0,0.0,0.0
0,,,379,4.0,0.9742500185966492,0.7063468098640442,0.0534081794321537,0.817650556564331,0.6550126671791077,0.0534081794321537,0.0,0.0,0.0,0.0
0,,,389,4.0,0.9941499829292297,0.6788586378097534,0.017863614484667778,0.7097314596176147,0.6560119390487671,0.017863614484667778,0.0,0.0,0.0,0.0
0,,,399,4.0,0.9848999977111816,0.9218575358390808,0.036562785506248474,0.9294605255126953,0.9145523309707642,0.036562785506248474,0.0,0.0,0.0,0.0
0,,,409,4.0,0.9914000034332275,0.746369481086731,0.027397500351071358,0.7698910236358643,0.7267029881477356,0.027397500351071358,0.0,0.0,0.0,0.0
0,,,419,4.0,0.9894499778747559,0.9156812429428101,0.029246792197227478,0.9197636842727661,0.9116834402084351,0.029246792197227478,0.0,0.0,0.0,0.0
0,,,429,4.0,0.9678999781608582,0.8100427985191345,0.06435246765613556,0.835633397102356,0.7884840965270996,0.06435246765613556,0.0,0.0,0.0,0.0
0,,,439,4.0,0.9926999807357788,0.7014157176017761,0.017360614612698555,0.825935959815979,0.6464032530784607,0.017360614612698555,0.0,0.0,0.0,0.0
0,,,449,4.0,0.98294997215271,0.7438177466392517,0.040251437574625015,0.8566051721572876,0.686729907989502,0.040251437574625015,0.0,0.0,0.0,0.0
0,,,459,4.0,0.9898999929428101,0.8964102268218994,0.024228664115071297,0.9319307804107666,0.8665651082992554,0.024228664115071297,0.0,0.0,0.0,0.0
0,,,469,4.0,0.9854000210762024,0.7894855737686157,0.03156150504946709,0.8228831887245178,0.7626054286956787,0.03156150504946709,0.0,0.0,0.0,0.0
0,,,479,4.0,0.9909499883651733,0.9117314219474792,0.023315444588661194,0.9329999685287476,0.8925678730010986,0.023315444588661194,0.0,0.0,0.0,0.0
0,,,489,4.0,0.9880499839782715,0.8780300617218018,0.026574822142720222,0.9121589660644531,0.8493971824645996,0.026574822142720222,0.0,0.0,0.0,0.0
0,,,499,4.0,0.9832000136375427,0.9200131893157959,0.038428254425525665,0.9196580648422241,0.9203689694404602,0.038428254425525665,0.0,0.0,0.0,0.0
0,,,509,4.0,0.9873999953269958,0.7608523368835449,0.026878466829657555,0.8529192805290222,0.707774817943573,0.026878466829657555,0.0,0.0,0.0,0.0
0,,,519,4.0,0.9861999750137329,0.7535425424575806,0.028958801180124283,0.8125354647636414,0.7138402462005615,0.028958801180124283,0.0,0.0,0.0,0.0
0,,,529,4.0,0.9830499887466431,0.79742431640625,0.03660893812775612,0.8484625816345215,0.7600124478340149,0.03660893812775612,0.0,0.0,0.0,0.0
0,,,539,4.0,0.9835000038146973,0.8206162452697754,0.037469539791345596,0.884084165096283,0.7759710550308228,0.037469539791345596,0.0,0.0,0.0,0.0
0,,,549,4.0,0.9843999743461609,0.8981935381889343,0.03489052876830101,0.8728530406951904,0.9276685118675232,0.03489052876830101,0.0,0.0,0.0,0.0
0,,,559,4.0,0.9918500185012817,0.9129281044006348,0.020379813387989998,0.919331431388855,0.9067280292510986,0.020379813387989998,0.0,0.0,0.0,0.0
0,,,569,4.0,0.9891499876976013,0.8614374399185181,0.03346158564090729,0.8654725551605225,0.8574949502944946,0.03346158564090729,0.0,0.0,0.0,0.0
0,,,579,4.0,0.9764000177383423,0.7965937256813049,0.053160980343818665,0.8393745422363281,0.7640342712402344,0.053160980343818665,0.0,0.0,0.0,0.0
0,,,589,4.0,0.9865000247955322,0.8776882886886597,0.032376620918512344,0.9062968492507935,0.8530770540237427,0.032376620918512344,0.0,0.0,0.0,0.0
0,,,599,4.0,0.984499990940094,0.8226583003997803,0.03587793931365013,0.8091781139373779,0.8374499082565308,0.03587793931365013,0.0,0.0,0.0,0.0
0,,,609,4.0,0.9922000169754028,0.8890758752822876,0.01849876344203949,0.935899019241333,0.8516501188278198,0.01849876344203949,0.0,0.0,0.0,0.0
0,,,619,4.0,0.9864500164985657,0.8572680354118347,0.03750474005937576,0.8995736241340637,0.8234704732894897,0.03750474005937576,0.0,0.0,0.0,0.0
0,,,629,4.0,0.9820500016212463,0.7740879058837891,0.04146404191851616,0.8177774548530579,0.741441011428833,0.04146404191851616,0.0,0.0,0.0,0.0
0,,,639,4.0,0.9815999865531921,0.8223419785499573,0.04186816141009331,0.8346097469329834,0.8110010623931885,0.04186816141009331,0.0,0.0,0.0,0.0
0,,,649,4.0,0.9835000038146973,0.7189669609069824,0.03653820976614952,0.7908322811126709,0.6764453053474426,0.03653820976614952,0.0,0.0,0.0,0.0
0,,,659,4.0,0.9922000169754028,0.8893792629241943,0.01974581554532051,0.9500008225440979,0.843622624874115,0.01974581554532051,0.0,0.0,0.0,0.0
0,,,669,4.0,0.9941499829292297,0.8676484823226929,0.014765872620046139,0.8652254343032837,0.8701047897338867,0.014765872620046139,0.0,0.0,0.0,0.0
0,,,679,4.0,0.9828000068664551,0.822203516960144,0.03672553226351738,0.8065969944000244,0.8396117091178894,0.03672553226351738,0.0,0.0,0.0,0.0
0,,,689,4.0,0.9868500232696533,0.7869312763214111,0.03113999404013157,0.8265998363494873,0.7561560869216919,0.03113999404013157,0.0,0.0,0.0,0.0
0,,,699,4.0,0.9897000193595886,0.8692626953125,0.02345607802271843,0.8842721581459045,0.8554340600967407,0.02345607802271843,0.0,0.0,0.0,0.0
0,,,709,4.0,0.987500011920929,0.8344759941101074,0.03391793742775917,0.8989498019218445,0.788593053817749,0.03391793742775917,0.0,0.0,0.0,0.0
0,,,719,4.0,0.9851999878883362,0.8157347440719604,0.03267888352274895,0.8437670469284058,0.7921303510665894,0.03267888352274895,0.0,0.0,0.0,0.0
0,,,729,4.0,0.9937000274658203,0.8971139192581177,0.016475658863782883,0.8983747959136963,0.8958613276481628,0.016475658863782883,0.0,0.0,0.0,0.0
0,,,739,4.0,0.9885500073432922,0.8769207000732422,0.027772588655352592,0.8926329612731934,0.8624839782714844,0.027772588655352592,0.0,0.0,0.0,0.0
0,,,749,4.0,0.9927499890327454,0.8048369884490967,0.018592318519949913,0.8909646272659302,0.7503076791763306,0.018592318519949913,0.0,0.0,0.0,0.0
0,,,759,4.0,0.9823499917984009,0.8391263484954834,0.03676047548651695,0.8723175525665283,0.8117107152938843,0.03676047548651695,0.0,0.0,0.0,0.0
0,,,769,4.0,0.9861999750137329,0.8396542072296143,0.033191561698913574,0.8330038785934448,0.8465920686721802,0.033191561698913574,0.0,0.0,0.0,0.0
0,,,779,4.0,0.9884999990463257,0.8820512294769287,0.02835828624665737,0.9127511978149414,0.8558284640312195,0.02835828624665737,0.0,0.0,0.0,0.0
0,,,789,4.0,0.9866499900817871,0.7773990631103516,0.02784128673374653,0.8332604169845581,0.7380813956260681,0.02784128673374653,0.0,0.0,0.0,0.0
0,,,799,4.0,0.9886999726295471,0.914952278137207,0.028214357793331146,0.919662594795227,0.9103550910949707,0.028214357793331146,0.0,0.0,0.0,0.0
0,,,809,4.0,0.9904500246047974,0.8585605621337891,0.02185973711311817,0.9238064289093018,0.8112713098526001,0.02185973711311817,0.0,0.0,0.0,0.0
0,,,819,4.0,0.9935500025749207,0.7167187929153442,0.01329712849110365,0.8494030237197876,0.6576986908912659,0.01329712849110365,0.0,0.0,0.0,0.0
0,,,829,4.0,0.9893500208854675,0.7740349173545837,0.024724455550312996,0.8079601526260376,0.7470297813415527,0.024724455550312996,0.0,0.0,0.0,0.0
0,,,839,4.0,0.9838500022888184,0.8713090419769287,0.04087214171886444,0.9023838639259338,0.8450074195861816,0.04087214171886444,0.0,0.0,0.0,0.0
0,,,849,4.0,0.9886000156402588,0.8126392364501953,0.024636002257466316,0.8351173400878906,0.7930905222892761,0.024636002257466316,0.0,0.0,0.0,0.0
0,,,859,4.0,0.9918500185012817,0.8683592081069946,0.019384292885661125,0.8963340520858765,0.8441970348358154,0.019384292885661125,0.0,0.0,0.0,0.0
0,,,869,4.0,0.9791499972343445,0.8885189294815063,0.04663914814591408,0.9307630062103271,0.8546175956726074,0.04663914814591408,0.0,0.0,0.0,0.0
0,,,879,4.0,0.9817000031471252,0.8367102146148682,0.037559229880571365,0.8339046239852905,0.8395671844482422,0.037559229880571365,0.0,0.0,0.0,0.0
0,,,889,4.0,0.9755499958992004,0.7455098032951355,0.05767950415611267,0.7878226041793823,0.7146817445755005,0.05767950415611267,0.0,0.0,0.0,0.0
0,,,899,4.0,0.9840499758720398,0.7349031567573547,0.03686220943927765,0.770404577255249,0.7079553008079529,0.03686220943927765,0.0,0.0,0.0,0.0
0,,,909,4.0,0.9929999709129333,0.9364705085754395,0.018414033576846123,0.9552271366119385,0.9192887544631958,0.018414033576846123,0.0,0.0,0.0,0.0
0,,,919,4.0,0.9905999898910522,0.8096202611923218,0.021716833114624023,0.8467166423797607,0.7798899412155151,0.021716833114624023,0.0,0.0,0.0,0.0
0,,,929,4.0,0.9854999780654907,0.8333711624145508,0.034366633743047714,0.8934836387634277,0.7898786664009094,0.034366633743047714,0.0,0.0,0.0,0.0
0,,,939,4.0,0.9907500147819519,0.9057707786560059,0.024029863998293877,0.9286495447158813,0.8853363394737244,0.024029863998293877,0.0,0.0,0.0,0.0
0,,,949,4.0,0.9935500025749207,0.8696244955062866,0.015429217368364334,0.90047287940979,0.8433040380477905,0.015429217368364334,0.0,0.0,0.0,0.0
0,,,959,4.0,0.9847999811172485,0.7367578148841858,0.035632744431495667,0.7685197591781616,0.7119652628898621,0.035632744431495667,0.0,0.0,0.0,0.0
0,,,969,4.0,0.9932500123977661,0.8796589374542236,0.0161819439381361,0.9230338931083679,0.8445762395858765,0.0161819439381361,0.0,0.0,0.0,0.0
0,,,979,4.0,0.9817500114440918,0.8100430965423584,0.04308615252375603,0.8321638107299805,0.7908512353897095,0.04308615252375603,0.0,0.0,0.0,0.0
0,,,989,4.0,0.994700014591217,0.7577585577964783,0.019233448430895805,0.8014583587646484,0.7252596020698547,0.019233448430895805,0.0,0.0,0.0,0.0
0,,,999,4.0,0.9955999851226807,0.8671542406082153,0.016095608472824097,0.8953632712364197,0.8427681922912598,0.016095608472824097,0.0,0.0,0.0,0.0
0,,,1009,4.0,0.9925000071525574,0.9014384150505066,0.018088113516569138,0.9228522181510925,0.8821747899055481,0.018088113516569138,0.0,0.0,0.0,0.0
0,,,1019,4.0,0.9910500049591064,0.8190914392471313,0.02362695150077343,0.8502378463745117,0.7931736707687378,0.02362695150077343,0.0,0.0,0.0,0.0
0,,,1029,4.0,0.9886999726295471,0.8586357831954956,0.027788538485765457,0.8422503471374512,0.8767638206481934,0.027788538485765457,0.0,0.0,0.0,0.0
0,,,1039,4.0,0.9919499754905701,0.8608195781707764,0.02220621518790722,0.8932499885559082,0.8334830403327942,0.02220621518790722,0.0,0.0,0.0,0.0
0,,,1049,4.0,0.9843500256538391,0.8558676838874817,0.03339236602187157,0.8704017400741577,0.8425050377845764,0.03339236602187157,0.0,0.0,0.0,0.0
0,,,1059,4.0,0.9894000291824341,0.8800320625305176,0.025641486048698425,0.9055355191230774,0.8576949238777161,0.025641486048698425,0.0,0.0,0.0,0.0
0,,,1069,4.0,0.9871500134468079,0.7626808881759644,0.02901807241141796,0.8710124492645264,0.7044121026992798,0.02901807241141796,0.0,0.0,0.0,0.0
