lr-Adam,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch,val/cls_loss,val/cls_acc,val/cls_precision,val/cls_recall,val/cls_f1,val/mat_loss,val/n_critical_max,val/rig_loss,val/loss,val/mat_precision,val/mat_recall,val/mat_f1
1e-06,0,,,,,,,,,,,,,,,,,,,,,,,
,9,4.0,0.024444203823804855,0.9905499815940857,0.9008345603942871,0.9047713875770569,0.902792751789093,4.63770055770874,279.0,10.194395065307617,14.856539726257324,0,,,,,,,,,,,,
,19,4.0,0.043824922293424606,0.9841499924659729,0.7608019113540649,0.8597742319107056,0.8019524216651917,3.8672966957092285,278.0,40.767181396484375,44.67830276489258,0,,,,,,,,,,,,
,29,4.0,0.11050178110599518,0.9638500213623047,0.7717301249504089,0.7373716831207275,0.7532442808151245,4.786942958831787,319.0,23.538944244384766,28.436389923095703,0,,,,,,,,,,,,
,39,4.0,0.048210714012384415,0.980650007724762,0.854299783706665,0.8985737562179565,0.8749964237213135,4.716119766235352,300.0,28.809080123901367,33.57341003417969,0,,,,,,,,,,,,
,49,4.0,0.05208181217312813,0.9778500199317932,0.779700517654419,0.909548282623291,0.8312802314758301,3.3310623168945312,265.0,10.532571792602539,13.915716171264648,0,,,,,,,,,,,,
,59,4.0,0.060031596571207047,0.9785000085830688,0.6735775470733643,0.6756206154823303,0.6745926737785339,4.9977946281433105,210.0,10.742877006530762,15.800703048706055,0,,,,,,,,,,,,
,69,4.0,0.02584744803607464,0.9927499890327454,0.8246773481369019,0.852766215801239,0.8381226062774658,3.8464694023132324,69.0,1.7430768013000488,5.61539363861084,0,,,,,,,,,,,,
,79,4.0,0.04106542840600014,0.984250009059906,0.7478451728820801,0.8238558769226074,0.7805309295654297,3.5642144680023193,109.0,6.253139495849609,9.858419418334961,0,,,,,,,,,,,,
,89,4.0,0.06355602294206619,0.9779999852180481,0.6536126732826233,0.7327587604522705,0.6845414638519287,3.6159753799438477,165.0,8.625823974609375,12.305355072021484,0,,,,,,,,,,,,
,99,4.0,0.0748547911643982,0.9784500002861023,0.8199347257614136,0.766487717628479,0.7905873656272888,4.28539514541626,323.0,13.579751014709473,17.940000534057617,0,,,,,,,,,,,,
,109,4.0,0.07477004826068878,0.9691500067710876,0.8244255781173706,0.7952758073806763,0.8090789318084717,4.800624370574951,290.0,30.80158233642578,35.67697525024414,0,,,,,,,,,,,,
,119,4.0,0.06029093638062477,0.9779000282287598,0.751428484916687,0.7046977281570435,0.725502610206604,4.055685520172119,250.0,6.282927513122559,10.398903846740723,0,,,,,,,,,,,,
,129,4.0,0.028935296460986137,0.9905999898910522,0.5820788145065308,0.6156927943229675,0.5959267616271973,4.027496814727783,36.0,0.2188771367073059,4.2753095626831055,0,,,,,,,,,,,,
,139,4.0,0.06489581614732742,0.9747999906539917,0.8588575124740601,0.8389511108398438,0.8485859036445618,4.814464092254639,367.0,10.259151458740234,15.138511657714844,0,,,,,,,,,,,,
,149,4.0,0.039591215550899506,0.9847000241279602,0.758104681968689,0.9183151721954346,0.818183958530426,3.488170862197876,130.0,10.133298873901367,13.66106128692627,0,,,,,,,,,,,,
,159,4.0,0.03245645388960838,0.986050009727478,0.8013003468513489,0.9147443771362305,0.8484961986541748,3.3448524475097656,190.0,16.8064022064209,20.183712005615234,0,,,,,,,,,,,,
,169,4.0,0.05471767485141754,0.9745000004768372,0.736299455165863,0.8972026705741882,0.7945059537887573,3.7589173316955566,174.0,12.343588829040527,16.157224655151367,0,,,,,,,,,,,,
,179,4.0,0.04952481389045715,0.9813500046730042,0.7858368158340454,0.8183398246765137,0.8011540174484253,4.599206924438477,218.0,9.337846755981445,13.986577987670898,0,,,,,,,,,,,,
,189,4.0,0.05105937272310257,0.9801499843597412,0.8311333656311035,0.901934027671814,0.8627745509147644,4.7340989112854,369.0,9.009739875793457,13.79489803314209,0,,,,,,,,,,,,
,199,4.0,0.12141487002372742,0.9689499735832214,0.7247219681739807,0.6434265971183777,0.6742335557937622,5.686399459838867,197.0,3.391911268234253,9.199725151062012,0,,,,,,,,,,,,
,209,4.0,0.038895394653081894,0.9832500219345093,0.8840398788452148,0.8733376264572144,0.8786061406135559,4.98627233505249,319.0,23.187368392944336,28.212535858154297,0,,,,,,,,,,,,
,219,4.0,0.05155503377318382,0.9781000018119812,0.7381875514984131,0.8866459727287292,0.7934541702270508,3.022303581237793,172.0,18.540874481201172,21.61473274230957,0,,,,,,,,,,,,
,229,4.0,0.06067143380641937,0.9785500168800354,0.7953965663909912,0.7840859293937683,0.7896223068237305,4.172522068023682,156.0,10.176288604736328,14.4094820022583,0,,,,,,,,,,,,
,239,4.0,0.03119032271206379,0.9901999831199646,0.8265053629875183,0.8174042701721191,0.8218880891799927,4.431366920471191,192.0,5.504875659942627,9.967432975769043,0,,,,,,,,,,,,
,249,4.0,0.10190847516059875,0.9623000025749207,0.7493361234664917,0.6874158382415771,0.71344393491745,5.5138373374938965,346.0,8.831311225891113,14.447057723999023,0,,,,,,,,,,,,
,259,4.0,0.07146844267845154,0.9753000140190125,0.7696047425270081,0.7465534210205078,0.7575215101242065,4.908809661865234,298.0,8.102563858032227,13.082841873168945,0,,,,,,,,,,,,
,269,4.0,0.08854780346155167,0.9632999897003174,0.732847273349762,0.8023261427879333,0.762489914894104,4.935413360595703,353.0,9.450221061706543,14.47418212890625,0,,,,,,,,,,,,
,279,4.0,0.028693264350295067,0.9901999831199646,0.6525896787643433,0.7306007146835327,0.683428168296814,3.674424171447754,55.0,1.5733107328414917,5.27642822265625,0,,,,,,,,,,,,
,289,4.0,0.023215141147375107,0.9934499859809875,0.8894193768501282,0.8536754846572876,0.8706609010696411,3.798433542251587,179.0,9.5560941696167,13.377742767333984,0,,,,,,,,,,,,
,299,4.0,0.02495354227721691,0.9923999905586243,0.7657171487808228,0.8259183764457703,0.7926768064498901,3.0911865234375,105.0,1.2359873056411743,4.352127552032471,0,,,,,,,,,,,,
,309,4.0,0.03334357216954231,0.9890000224113464,0.8480982780456543,0.8424807786941528,0.8452656269073486,4.225425720214844,278.0,74.38784790039062,78.64661407470703,0,,,,,,,,,,,,
,319,4.0,0.09281305223703384,0.963100016117096,0.7975468635559082,0.7999029159545898,0.7987195253372192,4.579055309295654,426.0,31.525821685791016,36.197689056396484,0,,,,,,,,,,,,
,329,4.0,0.10430753231048584,0.9613999724388123,0.802611768245697,0.7151154279708862,0.750490665435791,5.588052272796631,405.0,22.650413513183594,28.3427734375,0,,,,,,,,,,,,
,339,4.0,0.029246801510453224,0.990149974822998,0.743887186050415,0.6979802846908569,0.718478798866272,3.2472143173217773,88.0,0.9836377501487732,4.260098934173584,0,,,,,,,,,,,,
,349,4.0,0.025922561064362526,0.989300012588501,0.8804819583892822,0.915266752243042,0.8970643281936646,4.359856605529785,248.0,6.051358699798584,10.437137603759766,0,,,,,,,,,,,,
,359,4.0,0.04312888905405998,0.9814000129699707,0.667760968208313,0.6994242668151855,0.6821485757827759,4.407476902008057,139.0,1.8926818370819092,6.343287467956543,0,,,,,,,,,,,,
,369,4.0,0.031441811472177505,0.9884499907493591,0.5504822134971619,0.6051025986671448,0.5677249431610107,3.7031705379486084,57.0,0.727279782295227,4.461892127990723,0,,,,,,,,,,,,
,379,4.0,0.03381907194852829,0.9879500269889832,0.7463647127151489,0.6987902522087097,0.7199428677558899,4.703810691833496,83.0,3.755903482437134,8.49353313446045,0,,,,,,,,,,,,
,389,4.0,0.05073900148272514,0.984250009059906,0.8879071474075317,0.7467929720878601,0.800814151763916,5.004480838775635,356.0,5.364655017852783,10.41987419128418,0,,,,,,,,,,,,
,399,4.0,0.026321062818169594,0.9926999807357788,0.5895013809204102,0.6293203830718994,0.6056933403015137,3.042238712310791,35.0,0.6814491748809814,3.750009059906006,0,,,,,,,,,,,,
,409,4.0,0.046418916434049606,0.9824000000953674,0.6706592440605164,0.7431836128234863,0.7002314329147339,4.234165668487549,108.0,1.5125212669372559,5.7931060791015625,0,,,,,,,,,,,,
,419,4.0,0.08832170069217682,0.9671000242233276,0.682185173034668,0.6632461547851562,0.6721401214599609,5.148437023162842,363.0,5.018049240112305,10.25480842590332,0,,,,,,,,,,,,
,429,4.0,0.03622312471270561,0.9846500158309937,0.7998348474502563,0.866849422454834,0.8297663331031799,3.8730084896087646,188.0,16.024658203125,19.933889389038086,0,,,,,,,,,,,,
,439,4.0,0.04846721887588501,0.980400025844574,0.781976580619812,0.8821611404418945,0.8239258527755737,4.43463659286499,326.0,94.23917388916016,98.72227478027344,0,,,,,,,,,,,,
,449,4.0,0.037260860204696655,0.9882500171661377,0.6796247959136963,0.6544429659843445,0.6660502552986145,3.9725091457366943,108.0,3.4315333366394043,7.441303253173828,0,,,,,,,,,,,,
,459,4.0,0.049554407596588135,0.9836999773979187,0.739181399345398,0.8414006233215332,0.7808067202568054,3.3859176635742188,174.0,4.322241306304932,7.757713317871094,0,,,,,,,,,,,,
,469,4.0,0.015284371562302113,0.994350016117096,0.8148406147956848,0.8045607209205627,0.8096136450767517,3.4502992630004883,78.0,2.7799863815307617,6.245570182800293,0,,,,,,,,,,,,
,479,4.0,0.07669427990913391,0.9762499928474426,0.7637258768081665,0.6099899411201477,0.6532111167907715,5.2320733070373535,296.0,20.490161895751953,25.79892921447754,0,,,,,,,,,,,,
,489,4.0,0.03941277787089348,0.9855999946594238,0.9042010307312012,0.8645166754722595,0.8832517266273499,4.3118414878845215,518.0,15.45963191986084,19.81088638305664,0,,,,,,,,,,,,
,499,4.0,0.07446935027837753,0.9762499928474426,0.8781360387802124,0.7770995497703552,0.819092869758606,4.847095012664795,296.0,11.232224464416504,16.153789520263672,0,,,,,,,,,,,,
,509,4.0,0.03340828791260719,0.989549994468689,0.7518551349639893,0.5985153913497925,0.6407129168510437,4.644758224487305,114.0,9.08138656616211,13.759552955627441,0,,,,,,,,,,,,
,519,4.0,0.03683722764253616,0.9858999848365784,0.8459082841873169,0.9012270569801331,0.8713726997375488,4.964054584503174,329.0,7.229831218719482,12.230722427368164,0,,,,,,,,,,,,
,529,4.0,0.04362314194440842,0.9837499856948853,0.8968644738197327,0.8552366495132446,0.874798595905304,4.2761993408203125,312.0,7.315134048461914,11.634956359863281,0,,,,,,,,,,,,
,539,4.0,0.031112054362893105,0.9886999726295471,0.8971428871154785,0.8998426198959351,0.8984878063201904,4.1027374267578125,242.0,3.5725455284118652,7.706395149230957,0,,,,,,,,,,,,
,549,4.0,0.03965714946389198,0.9840999841690063,0.8018607497215271,0.8642765879631042,0.8299566507339478,5.02932071685791,310.0,86.40644836425781,91.47542572021484,0,,,,,,,,,,,,
,559,4.0,0.033658940345048904,0.9861500263214111,0.88925701379776,0.8955196142196655,0.8923612236976624,3.545905828475952,278.0,7.847884178161621,11.427449226379395,0,,,,,,,,,,,,
,569,4.0,0.07506485283374786,0.9774500131607056,0.8174209594726562,0.6617764234542847,0.7127242088317871,4.648618221282959,233.0,7.4148640632629395,12.13854694366455,0,,,,,,,,,,,,
,579,4.0,0.05907033756375313,0.9782000184059143,0.7463113069534302,0.7857452630996704,0.7644598484039307,3.9391069412231445,210.0,37.28998565673828,41.28816223144531,0,,,,,,,,,,,,
,589,4.0,0.054522205144166946,0.9820500016212463,0.8752573132514954,0.7391319870948792,0.7912023067474365,4.9920477867126465,333.0,9.787576675415039,14.834146499633789,0,,,,,,,,,,,,
,599,4.0,0.06848769634962082,0.9771999716758728,0.9003336429595947,0.8148306608200073,0.8519172668457031,4.431741714477539,389.0,28.750642776489258,33.25087356567383,0,,,,,,,,,,,,
,609,4.0,0.06131410971283913,0.9784500002861023,0.8268347978591919,0.787692666053772,0.805915117263794,3.9124412536621094,240.0,7.866281986236572,11.84003734588623,0,,,,,,,,,,,,
,619,4.0,0.045916300266981125,0.9826499819755554,0.7730870842933655,0.7941625118255615,0.7832098007202148,4.860729694366455,192.0,10.85686206817627,15.763507843017578,0,,,,,,,,,,,,
,629,4.0,0.030530240386724472,0.9872000217437744,0.717274010181427,0.8582044839859009,0.7698038816452026,4.684540271759033,138.0,16.724830627441406,21.43990135192871,0,,,,,,,,,,,,
,639,4.0,0.05668802559375763,0.9792500138282776,0.8694412708282471,0.762948751449585,0.8065420985221863,5.397830486297607,328.0,7.935906410217285,13.390424728393555,0,,,,,,,,,,,,
,649,4.0,0.03607670217752457,0.9882000088691711,0.8311342000961304,0.8161668181419373,0.8234695792198181,3.6187744140625,193.0,6.427821636199951,10.082673072814941,0,,,,,,,,,,,,
,659,4.0,0.025457538664340973,0.9886500239372253,0.8360423445701599,0.897457480430603,0.8640408515930176,3.505535840988159,162.0,2.5860471725463867,6.117040634155273,0,,,,,,,,,,,,
,669,4.0,0.10522021353244781,0.9631999731063843,0.731339693069458,0.6503779292106628,0.6812742352485657,5.771106719970703,342.0,4.477826118469238,10.35415267944336,0,,,,,,,,,,,,
,679,4.0,0.059458177536726,0.9756500124931335,0.7839192748069763,0.8104809522628784,0.7965525388717651,4.163261890411377,297.0,71.65020751953125,75.8729248046875,0,,,,,,,,,,,,
,689,4.0,0.02407773956656456,0.9911500215530396,0.8388552069664001,0.8630058169364929,0.850499153137207,3.5877976417541504,159.0,6.043433666229248,9.655308723449707,0,,,,,,,,,,,,
,699,4.0,0.032191503793001175,0.9904500246047974,0.8468079566955566,0.7932872176170349,0.8177310228347778,4.193059921264648,129.0,16.523027420043945,20.748279571533203,0,,,,,,,,,,,,
,709,4.0,0.09929031133651733,0.9610000252723694,0.6982842683792114,0.7311570644378662,0.7132980227470398,4.628023624420166,230.0,31.251235961914062,35.97854995727539,0,,,,,,,,,,,,
,719,4.0,0.052194733172655106,0.9855499863624573,0.7737327814102173,0.6608717441558838,0.7020452618598938,4.876035690307617,150.0,4.767059803009033,9.695289611816406,0,,,,,,,,,,,,
,729,4.0,0.055987756699323654,0.977649986743927,0.7980387210845947,0.8767635226249695,0.8323734402656555,3.6616950035095215,217.0,21.762582778930664,25.480266571044922,0,,,,,,,,,,,,
,739,4.0,0.08224941045045853,0.9804499745368958,0.8698141574859619,0.7116826772689819,0.7679433822631836,5.228692531585693,317.0,14.718265533447266,20.029207229614258,0,,,,,,,,,,,,
,749,4.0,0.07330405712127686,0.9749500155448914,0.7863678336143494,0.6560354828834534,0.7006182670593262,4.653633117675781,327.0,17.67243766784668,22.399375915527344,0,,,,,,,,,,,,
,759,4.0,0.050505250692367554,0.9856500029563904,0.740467369556427,0.7261142730712891,0.7330601811408997,3.3739452362060547,106.0,3.028007745742798,6.452458381652832,0,,,,,,,,,,,,
,769,4.0,0.03625786304473877,0.9871500134468079,0.8254696726799011,0.8839701414108276,0.8521700501441956,3.470738410949707,216.0,29.68770408630371,33.1947021484375,0,,,,,,,,,,,,
,779,4.0,0.041559912264347076,0.9841499924659729,0.752015233039856,0.7680128812789917,0.7597552537918091,4.09456729888916,147.0,6.70749044418335,10.84361743927002,0,,,,,,,,,,,,
,789,4.0,0.06393013149499893,0.9721500277519226,0.7588337063789368,0.7465649843215942,0.752536416053772,4.08110237121582,246.0,11.234073638916016,15.379106521606445,0,,,,,,,,,,,,
