lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/loss,epoch
1e-05,1e-05,0,,,,,,,,
,,9,3.0,0.6556118130683899,0.5809999704360962,0.4992898404598236,0.48568105697631836,0.3777378499507904,0.6556118130683899,0
,,19,3.0,0.6441425681114197,0.626466691493988,0.49924376606941223,0.490694522857666,0.401610404253006,0.6441425681114197,0
,,29,3.0,0.6281344294548035,0.6617333292961121,0.5029538869857788,0.5335374474525452,0.41981104016304016,0.6281344294548035,0
,,39,3.0,0.6200168132781982,0.6885333061218262,0.5015584826469421,0.5190683007240295,0.42584994435310364,0.6200168132781982,0
,,49,3.0,0.6048436164855957,0.734333336353302,0.5093522667884827,0.6369935274124146,0.44869619607925415,0.6048436164855957,0
,,59,3.0,0.6052536368370056,0.7444666624069214,0.5008231401443481,0.5049550533294678,0.4548661410808563,0.6052536368370056,0
,,69,3.0,0.5900791883468628,0.7879999876022339,0.5011710524559021,0.5199484825134277,0.45162642002105713,0.5900791883468628,0
,,79,3.0,0.5867220163345337,0.7770666480064392,0.5062745809555054,0.5566809177398682,0.46344321966171265,0.5867220163345337,0
,,89,3.0,0.5741515159606934,0.8216666579246521,0.5041725039482117,0.5232499241828918,0.4786531329154968,0.5741515159606934,0
,,99,3.0,0.5682612061500549,0.8387333154678345,0.5043032169342041,0.5150882005691528,0.4897770881652832,0.5682612061500549,0
