lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch,val/cls_loss,val/cls_acc,val/cls_precision,val/cls_recall,val/cls_f1,val/mat_loss,val/n_critical_max,val/rig_loss,val/loss,val/mat_precision,val/mat_recall,val/mat_f1
1e-06,1e-06,0,,,,,,,,,,,,,,,,,,,,,,,
,,9,4.0,0.09077311307191849,0.9643499851226807,0.7696927189826965,0.7360987067222595,0.7516411542892456,4.885678291320801,327.0,19.890417098999023,24.86686897277832,0,,,,,,,,,,,,
,,19,4.0,0.07562758028507233,0.9698500037193298,0.6944452524185181,0.6763871312141418,0.6849335432052612,4.612011909484863,300.0,13.359591484069824,18.047231674194336,0,,,,,,,,,,,,
,,29,4.0,0.046380821615457535,0.98294997215271,0.6562883257865906,0.7498498558998108,0.6917552947998047,3.7683863639831543,102.0,8.846057891845703,12.6608247756958,0,,,,,,,,,,,,
,,39,4.0,0.04554212465882301,0.9816499948501587,0.820470929145813,0.7715868353843689,0.7938785552978516,5.188677787780762,353.0,10.328448295593262,15.562667846679688,0,,,,,,,,,,,,
,,49,4.0,0.037811487913131714,0.9865999817848206,0.8090951442718506,0.8558471202850342,0.8307393789291382,4.908670902252197,283.0,5.603570461273193,10.550052642822266,0,,,,,,,,,,,,
,,59,4.0,0.026329830288887024,0.990149974822998,0.6698718667030334,0.8938553333282471,0.7362408638000488,2.857882261276245,104.0,1.966557264328003,4.85076904296875,0,,,,,,,,,,,,
,,69,4.0,0.036359935998916626,0.9855499863624573,0.8041368722915649,0.8783994317054749,0.8369872570037842,4.007023811340332,150.0,6.2544169425964355,10.297800064086914,0,,,,,,,,,,,,
,,79,4.0,0.03501168265938759,0.9872000217437744,0.8164847493171692,0.896970272064209,0.8519313335418701,3.2060678005218506,135.0,5.425830364227295,8.666910171508789,0,,,,,,,,,,,,
,,89,4.0,0.06156211718916893,0.9740999937057495,0.7433215379714966,0.773514449596405,0.7574588060379028,4.354997158050537,270.0,7.295190811157227,11.711750030517578,0,,,,,,,,,,,,
,,99,4.0,0.05056944116950035,0.980650007724762,0.8981685042381287,0.8391446471214294,0.8660598397254944,4.728416442871094,334.0,31.449390411376953,36.22837829589844,0,,,,,,,,,,,,
,,109,4.0,0.04413026198744774,0.9799000024795532,0.7846605181694031,0.860812783241272,0.8178914785385132,4.3781418800354,247.0,5.841604709625244,10.263876914978027,0,,,,,,,,,,,,
,,119,4.0,0.05187712237238884,0.9786999821662903,0.7997139692306519,0.8904225826263428,0.8385570049285889,3.4812326431274414,248.0,23.321304321289062,26.854413986206055,0,,,,,,,,,,,,
,,129,4.0,0.04805462062358856,0.9815000295639038,0.8311684131622314,0.8666517734527588,0.8479321002960205,4.968009948730469,353.0,64.09854125976562,69.11460876464844,0,,,,,,,,,,,,
,,139,4.0,0.0691385343670845,0.9704999923706055,0.8202969431877136,0.7262928485870361,0.7644031643867493,5.420856952667236,305.0,11.328096389770508,16.818092346191406,0,,,,,,,,,,,,
,,149,4.0,0.020302705466747284,0.9944999814033508,0.6728515028953552,0.6852909326553345,0.6788516044616699,3.6207377910614014,36.0,0.04746028780937195,3.6885008811950684,0,,,,,,,,,,,,
,,159,4.0,0.050548333674669266,0.9798499941825867,0.7565984725952148,0.7595652341842651,0.7580727338790894,4.325633525848389,171.0,5.7953619956970215,10.171544075012207,0,,,,,,,,,,,,
,,169,4.0,0.07496565580368042,0.975350022315979,0.7338665723800659,0.7036983966827393,0.7176609635353088,5.00686502456665,357.0,62.17546844482422,67.2573013305664,0,,,,,,,,,,,,
