epoch,lr-Adam,step,train/batch_size,train/cls_acc,train/cls_f1,train/cls_loss,train/cls_precision,train/cls_recall,train/loss,train/mat_loss,train/n_critical_max,train/rig_loss,val/cls_acc,val/cls_f1,val/cls_loss,val/cls_precision,val/cls_recall,val/loss,val/mat_f1,val/mat_loss,val/mat_precision,val/mat_recall,val/n_critical_max,val/rig_loss
,1e-06,0,,,,,,,,,,,,,,,,,,,,,,
0,,9,4.0,0.9850000143051147,0.9475167989730835,0.03561079874634743,0.9520713090896606,0.9430719614028931,16.448204040527344,3.866070508956909,892.0,12.546523094177246,,,,,,,,,,,,
0,,19,4.0,0.9890499711036682,0.9633998870849609,0.03536310791969299,0.9576535224914551,0.9693259000778198,14.752073287963867,3.482198476791382,953.0,11.234511375427246,,,,,,,,,,,,
0,,29,4.0,0.9873999953269958,0.8856469988822937,0.03438849374651909,0.8735241293907166,0.8986451625823975,9.002772331237793,3.8496315479278564,216.0,5.118752479553223,,,,,,,,,,,,
0,,39,4.0,0.9861999750137329,0.939952552318573,0.03781862556934357,0.9597464799880981,0.9220285415649414,47.069915771484375,4.239932060241699,905.0,42.79216384887695,,,,,,,,,,,,
0,,49,4.0,0.9815000295639038,0.9249195456504822,0.05400454252958298,0.9006364345550537,0.9529808759689331,6.902217864990234,2.875030279159546,953.0,3.9731831550598145,,,,,,,,,,,,
0,,59,4.0,0.9904999732971191,0.927688479423523,0.026116501539945602,0.9270825386047363,0.9282962083816528,21.23651123046875,3.7084386348724365,384.0,17.501956939697266,,,,,,,,,,,,
0,,69,4.0,0.9836000204086304,0.7977457046508789,0.03820774704217911,0.7929027080535889,0.8027614951133728,8.141255378723145,4.369929313659668,194.0,3.7331182956695557,,,,,,,,,,,,
0,,79,4.0,0.988349974155426,0.930797815322876,0.029740680009126663,0.9396284222602844,0.9223512411117554,11.616437911987305,3.6402664184570312,714.0,7.9464311599731445,,,,,,,,,,,,
0,,89,4.0,0.9865000247955322,0.8897110223770142,0.04046758636832237,0.9294220209121704,0.8571618795394897,5.4914937019348145,3.969860553741455,367.0,1.4811652898788452,,,,,,,,,,,,
0,,99,4.0,0.9915500283241272,0.8899270296096802,0.022761115804314613,0.9269429445266724,0.8590514659881592,5.7120771408081055,4.114190578460693,194.0,1.5751252174377441,,,,,,,,,,,,
0,,109,4.0,0.9882000088691711,0.9510394930839539,0.03251062333583832,0.9583487510681152,0.9439966678619385,14.641097068786621,3.4950432777404785,575.0,11.113543510437012,,,,,,,,,,,,
0,,119,4.0,0.991100013256073,0.9681618213653564,0.023775829002261162,0.9786720275878906,0.9581891894340515,11.375226020812988,3.377408266067505,933.0,7.974041938781738,,,,,,,,,,,,
