epoch,lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_acc,train/cls_f1,train/cls_loss,train/cls_precision,train/cls_recall,train/loss
,1e-05,1e-05,0,,,,,,,
0,,,9,3.0,0.6269333362579346,0.40707796812057495,0.6466285586357117,0.5079719424247742,0.6362989544868469,0.6466285586357117
0,,,19,3.0,0.6381999850273132,0.41013890504837036,0.6404104828834534,0.500550389289856,0.5057777762413025,0.6404104828834534
0,,,29,3.0,0.6601333618164062,0.41741085052490234,0.6283196806907654,0.5012087821960449,0.5135024189949036,0.6283196806907654
0,,,39,3.0,0.6977333426475525,0.4352685511112213,0.6170684099197388,0.5075448155403137,0.6014965772628784,0.6170684099197388
0,,,49,3.0,0.7271999716758728,0.43979206681251526,0.6092263460159302,0.5046746730804443,0.569748044013977,0.6092263460159302
0,,,59,3.0,0.7563333511352539,0.47670474648475647,0.5963919162750244,0.5152525305747986,0.5962324738502502,0.5963919162750244
0,,,69,3.0,0.7951333522796631,0.4632500410079956,0.5836660265922546,0.5078954696655273,0.6451990604400635,0.5836660265922546
0,,,79,3.0,0.7890666723251343,0.4708828032016754,0.5834354162216187,0.5071508288383484,0.5531667470932007,0.5834354162216187
0,,,89,3.0,0.8226666450500488,0.46963605284690857,0.5764824748039246,0.4985926151275635,0.49174368381500244,0.5764824748039246
0,,,99,3.0,0.8309333324432373,0.48357874155044556,0.5717736482620239,0.5003507733345032,0.5011953711509705,0.5717736482620239
0,,,109,3.0,0.8747333288192749,0.5216819643974304,0.5554805397987366,0.5250565409660339,0.6290403008460999,0.5554805397987366
0,,,119,3.0,0.8700666427612305,0.510702908039093,0.5497376322746277,0.5157784223556519,0.5550796985626221,0.5497376322746277
0,,,129,3.0,0.8778666853904724,0.5004594922065735,0.5444097518920898,0.5105953216552734,0.5520713925361633,0.5444097518920898
0,,,139,3.0,0.9139333367347717,0.5263224244117737,0.5346762537956238,0.5231986045837402,0.6061525940895081,0.5346762537956238
0,,,149,3.0,0.9057333469390869,0.5000690221786499,0.532366931438446,0.5075870752334595,0.5378502607345581,0.532366931438446
0,,,159,3.0,0.9053999781608582,0.4979814291000366,0.5263161063194275,0.4992789626121521,0.4989185035228729,0.5263161063194275
0,,,169,3.0,0.9103999733924866,0.5307911038398743,0.5186501741409302,0.5256364941596985,0.5529870390892029,0.5186501741409302
0,,,179,3.0,0.9336000084877014,0.49648523330688477,0.5093024373054504,0.500910222530365,0.5028189420700073,0.5093024373054504
0,,,189,3.0,0.9476000070571899,0.5459156036376953,0.49964451789855957,0.5338839292526245,0.5941349267959595,0.49964451789855957
