lr-Adam,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,train/data_time,epoch
1e-06,0,,,,,,,,,,,,
,9,4.0,0.04355568066239357,0.9817000031471252,0.8056073188781738,0.9326311945915222,0.8572590947151184,4.271716117858887,309.0,34.09870910644531,38.41398239135742,3.2999960239976645e-06,0
,19,4.0,0.07856576889753342,0.9751999974250793,0.81448894739151,0.7338733077049255,0.7677597999572754,4.599864482879639,211.0,3.513305187225342,8.19173526763916,3.2999960239976645e-06,0
,29,4.0,0.016337335109710693,0.9945499897003174,0.7784869074821472,0.711493968963623,0.7403364181518555,3.474846839904785,60.0,0.8526074290275574,4.343791484832764,3.2999960239976645e-06,0
,39,4.0,0.048101942986249924,0.9829000234603882,0.829021692276001,0.9175455570220947,0.8675832748413086,3.4280357360839844,239.0,45.86927795410156,49.34541702270508,3.2999960239976645e-06,0
,49,4.0,0.07065606117248535,0.9753000140190125,0.6344326734542847,0.6077308654785156,0.6194789409637451,3.8922648429870605,120.0,4.531806945800781,8.494728088378906,3.2999960239976645e-06,0
,59,4.0,0.035985786467790604,0.986299991607666,0.746982216835022,0.8661532402038574,0.7944510579109192,3.264570713043213,161.0,10.79841423034668,14.098970413208008,3.2999960239976645e-06,0
,69,4.0,0.03639636188745499,0.9876000285148621,0.7929161787033081,0.7697327733039856,0.780826985836029,3.7774674892425537,84.0,0.9644495844841003,4.778313159942627,3.2999960239976645e-06,0
,79,4.0,0.06619125604629517,0.9761499762535095,0.875400185585022,0.8571156859397888,0.8660005331039429,5.454559803009033,358.0,8.011690139770508,13.532441139221191,3.2999960239976645e-06,0
,89,4.0,0.025516608729958534,0.9918500185012817,0.8467856645584106,0.815874457359314,0.8305862545967102,5.038685321807861,106.0,0.8645513653755188,5.92875337600708,3.2999960239976645e-06,0
,99,4.0,0.037402983754873276,0.9855499863624573,0.8289745450019836,0.8341487646102905,0.8315402269363403,4.117567539215088,272.0,15.843228340148926,19.998199462890625,3.2999960239976645e-06,0
,109,4.0,0.032568950206041336,0.9877499938011169,0.8088811635971069,0.8244644403457642,0.8164722323417664,3.8586926460266113,240.0,55.62393569946289,59.51519775390625,3.2999960239976645e-06,0
,119,4.0,0.028247347101569176,0.9888499975204468,0.7130662202835083,0.8096275329589844,0.7521255016326904,3.84812331199646,101.0,6.596195697784424,10.472566604614258,3.2999960239976645e-06,0
,129,4.0,0.07661961019039154,0.9692000150680542,0.879799485206604,0.8304013013839722,0.8531087636947632,5.109130859375,351.0,8.646495819091797,13.832246780395508,3.2999960239976645e-06,0
,139,4.0,0.07277984172105789,0.9754999876022339,0.721552848815918,0.6585115194320679,0.6844078302383423,5.138802528381348,366.0,7.90997838973999,13.121561050415039,3.2999960239976645e-06,0
,149,4.0,0.04343000799417496,0.9851999878883362,0.7628163695335388,0.7332059144973755,0.7470859289169312,4.067771911621094,137.0,5.372791767120361,9.483993530273438,3.2999960239976645e-06,0
,159,4.0,0.037344809621572495,0.9846000075340271,0.67220139503479,0.7292628288269043,0.6964889764785767,4.403060436248779,114.0,0.853397786617279,5.2938032150268555,3.2999960239976645e-06,0
,169,4.0,0.044226985424757004,0.9830999970436096,0.7741111516952515,0.8980785608291626,0.823920488357544,3.5743930339813232,182.0,5.63673210144043,9.255352020263672,3.2999960239976645e-06,0
,179,4.0,0.03616997227072716,0.9879000186920166,0.9054343700408936,0.8818966150283813,0.8932881355285645,4.210416793823242,352.0,5.285487174987793,9.532073974609375,3.2999960239976645e-06,0
,189,4.0,0.06082044169306755,0.9745000004768372,0.7591965794563293,0.7132256031036377,0.733790397644043,4.20840311050415,297.0,8.075779914855957,12.345003128051758,3.2999960239976645e-06,0
,199,4.0,0.0270669125020504,0.9902999997138977,0.7966674566268921,0.8803271651268005,0.8331319093704224,2.8785529136657715,170.0,3.706374406814575,6.61199426651001,3.2999960239976645e-06,0
,209,4.0,0.11513812094926834,0.9658499956130981,0.8528413772583008,0.6708139181137085,0.7270628213882446,4.954893589019775,320.0,7.5562424659729,12.626274108886719,3.2999960239976645e-06,0
,219,4.0,0.03477934002876282,0.9872999787330627,0.7436392307281494,0.7743797302246094,0.7580603957176208,3.7511327266693115,163.0,16.931562423706055,20.71747398376465,3.2999960239976645e-06,0
,229,4.0,0.05864372476935387,0.979449987411499,0.8896228075027466,0.7999107837677002,0.8384140729904175,4.454929351806641,315.0,6.181881904602051,10.695455551147461,3.2999960239976645e-06,0
,239,4.0,0.04101977124810219,0.9860000014305115,0.7514084577560425,0.9064475893974304,0.809766411781311,3.9466960430145264,235.0,13.151888847351074,17.139604568481445,3.2999960239976645e-06,0
,249,4.0,0.022783400490880013,0.9919499754905701,0.8090326189994812,0.7654898762702942,0.7855671644210815,4.084473133087158,92.0,1.503306269645691,5.610562801361084,3.2999960239976645e-06,0
,259,4.0,0.07943885028362274,0.9695500135421753,0.698838472366333,0.6530671119689941,0.6726844310760498,4.737765312194824,340.0,6.224465847015381,11.041669845581055,3.2999960239976645e-06,0
,269,4.0,0.0549057312309742,0.9801999926567078,0.896681547164917,0.8693098425865173,0.8824496269226074,4.079150676727295,333.0,18.18027687072754,22.314332962036133,3.2999960239976645e-06,0
,279,4.0,0.04993061348795891,0.9803500175476074,0.8558474779129028,0.7219944000244141,0.7724398374557495,4.9507575035095215,206.0,2.1042041778564453,7.104892253875732,3.2999960239976645e-06,0
,289,4.0,0.03209131956100464,0.9872499704360962,0.8787209391593933,0.8873487710952759,0.8829828500747681,4.693806171417236,250.0,13.543865203857422,18.26976203918457,3.2999960239976645e-06,0
,299,4.0,0.033196233212947845,0.9871000051498413,0.7795785665512085,0.7378353476524353,0.7569540739059448,3.5317227840423584,141.0,3.6158502101898193,7.180768966674805,3.2999960239976645e-06,0
